idx,t,x,y,heading_deg,velocity,omega,left_voltage,right_voltage
185,2.171000,93.036036,46.203183,217.121422,44.982371,-2.668608,10.021857,2.935960
186,2.181000,93.036036,46.203183,217.121422,45.414340,-2.783800,10.007327,3.035037
187,2.191000,93.036036,46.203183,217.121422,45.543931,-2.579815,9.993108,3.128528
188,2.201000,91.611790,45.069182,211.719563,47.516589,-2.922990,9.977016,3.232582
189,2.211000,91.611790,45.069182,211.719563,46.191884,-2.889393,9.958717,3.349114
190,2.221000,91.611790,45.069182,211.719563,42.952117,-2.498221,9.937837,3.480253
191,2.231000,90.409351,44.391832,207.439255,43.182500,-2.455024,9.913946,3.628420
192,2.241000,90.023569,44.197629,206.002156,45.054366,-2.781400,9.886540,3.796438
193,2.251000,89.616181,44.005011,204.608708,43.556873,-2.445424,9.855013,3.987636
194,2.261000,89.217969,43.828323,203.245173,43.398485,-2.260638,9.818632,4.206019
195,2.271000,88.817148,43.661832,201.868346,44.939174,-2.239039,9.775037,4.475379
196,2.281000,88.398020,43.499596,200.452451,43.499277,-1.504692,9.726619,4.769861
197,2.291000,87.988523,43.352749,199.003592,47.199812,-2.025455,9.670588,5.109454
198,2.301000,87.988523,43.352749,199.003592,47.257407,-1.823869,9.605269,5.504801
199,2.311000,87.988523,43.352749,199.003592,46.566257,-1.382301,9.528685,5.967981
200,2.321000,87.988523,43.352749,199.003592,47.905361,-1.255110,9.313743,6.453683
201,2.331000,86.640058,42.891424,194.423594,44.392013,-1.706278,8.977550,6.971997
202,2.341000,86.640058,42.891424,194.423594,45.155158,-2.039854,8.573066,7.555418
203,2.351000,86.640058,42.891424,194.423594,47.444594,-1.533490,8.095336,8.212084
204,2.361000,86.640058,42.891424,194.423594,48.366128,-1.610284,7.537403,8.948955
205,2.371000,84.756376,42.466117,189.673684,46.724646,-1.283908,6.893216,9.772078
206,2.381000,84.283063,42.389448,188.728504,45.414340,-1.132719,6.158733,10.685498
207,2.391000,83.833648,42.323802,187.892213,46.955029,-0.914334,5.333743,11.689425
208,2.401000,83.368138,42.262381,187.140542,44.838381,-0.820741,6.481839,9.849354
209,2.411000,82.922918,42.209250,186.470051,44.838381,-0.820741,10.064174,4.555966
